record_id,crop,district,season,rainfall_mm,fertilizer_kg_ha,temperature_c,humidity_pct,soil_ph,yield_t_ha,data_source,is_synthetic
SYN-0058,maize,Chinhoyi,2021/22,715.5,190.0,25.1,60.6,6.16,4.432,MundaSense deterministic synthetic demo generator v1,True
SYN-0059,maize,Mutare,2022/23,551.2,18.7,18.2,70.1,5.05,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0060,maize,Mutare,2024/25,454.8,136.7,26.2,64.1,5.36,3.062,MundaSense deterministic synthetic demo generator v1,True
SYN-0061,maize,Zvishavane,2024/25,622.1,170.7,31.1,50.6,5.56,0.579,MundaSense deterministic synthetic demo generator v1,True
SYN-0062,maize,Mutare,2023/24,564.6,274.8,30.0,60.6,6.71,1.613,MundaSense deterministic synthetic demo generator v1,True
SYN-0063,maize,Gokwe South,2021/22,432.2,151.5,30.8,74.5,5.84,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0064,maize,Zvishavane,2021/22,999.0,53.6,21.9,70.8,5.78,1.627,MundaSense deterministic synthetic demo generator v1,True
SYN-0065,maize,Goromonzi,2022/23,950.3,84.8,27.9,52.3,7.51,0.698,MundaSense deterministic synthetic demo generator v1,True
SYN-0066,maize,Gokwe South,2023/24,830.2,114.5,22.9,54.0,6.35,2.249,MundaSense deterministic synthetic demo generator v1,True
SYN-0067,maize,Zvishavane,2021/22,449.6,205.6,25.8,80.9,6.34,1.861,MundaSense deterministic synthetic demo generator v1,True
SYN-0068,maize,Gokwe South,2023/24,778.2,26.5,21.2,68.4,5.83,2.028,MundaSense deterministic synthetic demo generator v1,True
SYN-0069,maize,Bindura,2023/24,738.3,136.4,23.1,62.0,5.67,3.249,MundaSense deterministic synthetic demo generator v1,True
SYN-0070,maize,Goromonzi,2021/22,701.9,32.1,23.0,65.4,4.53,2.214,MundaSense deterministic synthetic demo generator v1,True
SYN-0071,maize,Plumtree,2021/22,851.2,68.7,27.9,51.2,6.8,1.915,MundaSense deterministic synthetic demo generator v1,True
SYN-0072,maize,Chinhoyi,2022/23,737.5,37.8,27.6,77.5,6.42,1.736,MundaSense deterministic synthetic demo generator v1,True
SYN-0073,maize,Goromonzi,2023/24,756.9,62.0,26.0,62.3,5.97,2.586,MundaSense deterministic synthetic demo generator v1,True
SYN-0074,maize,Chinhoyi,2024/25,737.8,156.3,20.9,81.7,6.0,2.307,MundaSense deterministic synthetic demo generator v1,True
SYN-0075,maize,Mutare,2022/23,683.0,77.9,24.1,67.6,6.63,4.276,MundaSense deterministic synthetic demo generator v1,True
SYN-0076,maize,Goromonzi,2022/23,290.0,58.3,22.8,80.9,4.98,1.14,MundaSense deterministic synthetic demo generator v1,True
SYN-0077,maize,Gokwe South,2024/25,635.5,53.2,27.8,66.9,5.68,2.477,MundaSense deterministic synthetic demo generator v1,True
SYN-0078,maize,Chinhoyi,2022/23,517.1,44.9,28.8,71.6,5.28,0.502,MundaSense deterministic synthetic demo generator v1,True
SYN-0079,maize,Masvingo,2022/23,383.2,150.0,28.4,70.6,7.38,0.663,MundaSense deterministic synthetic demo generator v1,True
SYN-0080,maize,Mutare,2022/23,931.1,101.1,22.8,73.7,6.73,2.569,MundaSense deterministic synthetic demo generator v1,True
SYN-0081,maize,Zvishavane,2021/22,939.9,121.5,16.6,75.5,4.51,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0082,maize,Goromonzi,2022/23,871.5,35.5,19.6,68.2,5.01,1.57,MundaSense deterministic synthetic demo generator v1,True
SYN-0083,maize,Chinhoyi,2023/24,667.2,101.4,29.5,80.6,6.0,2.556,MundaSense deterministic synthetic demo generator v1,True
SYN-0084,maize,Plumtree,2024/25,869.9,17.1,23.9,59.1,5.76,1.636,MundaSense deterministic synthetic demo generator v1,True
SYN-0085,maize,Mutare,2023/24,622.2,189.2,22.8,68.1,5.15,2.521,MundaSense deterministic synthetic demo generator v1,True
SYN-0086,maize,Mutare,2024/25,657.5,136.3,30.2,63.0,7.5,0.586,MundaSense deterministic synthetic demo generator v1,True
SYN-0087,maize,Bindura,2023/24,417.7,92.6,29.0,67.3,6.33,1.791,MundaSense deterministic synthetic demo generator v1,True
SYN-0088,maize,Gokwe South,2021/22,693.4,14.8,25.2,62.5,6.44,2.923,MundaSense deterministic synthetic demo generator v1,True
SYN-0089,maize,Plumtree,2022/23,631.2,51.5,24.2,69.9,5.6,2.633,MundaSense deterministic synthetic demo generator v1,True
SYN-0090,maize,Plumtree,2024/25,379.0,37.5,24.7,65.2,6.62,1.695,MundaSense deterministic synthetic demo generator v1,True
SYN-0091,maize,Goromonzi,2021/22,610.5,89.5,25.8,51.7,5.83,2.61,MundaSense deterministic synthetic demo generator v1,True
SYN-0092,maize,Plumtree,2024/25,605.3,124.0,30.1,63.0,5.9,1.695,MundaSense deterministic synthetic demo generator v1,True
SYN-0093,maize,Plumtree,2023/24,952.5,120.1,26.4,55.6,6.54,1.524,MundaSense deterministic synthetic demo generator v1,True
SYN-0094,maize,Goromonzi,2022/23,785.4,227.1,27.4,49.2,4.93,2.335,MundaSense deterministic synthetic demo generator v1,True
SYN-0095,maize,Zvishavane,2024/25,622.1,96.3,28.7,65.1,7.25,1.987,MundaSense deterministic synthetic demo generator v1,True
SYN-0096,maize,Gokwe South,2024/25,666.0,196.1,21.5,73.4,6.23,3.221,MundaSense deterministic synthetic demo generator v1,True
SYN-0097,maize,Chinhoyi,2021/22,628.2,82.0,27.4,69.5,7.02,2.128,MundaSense deterministic synthetic demo generator v1,True
SYN-0098,maize,Mutare,2021/22,582.5,133.2,24.2,72.2,5.33,2.887,MundaSense deterministic synthetic demo generator v1,True
SYN-0099,maize,Mutare,2023/24,419.8,87.1,17.3,54.5,5.44,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0100,maize,Chinhoyi,2024/25,592.1,117.9,18.5,58.8,5.26,2.39,MundaSense deterministic synthetic demo generator v1,True
SYN-0101,maize,Plumtree,2021/22,482.0,97.1,21.9,86.4,6.28,1.983,MundaSense deterministic synthetic demo generator v1,True
SYN-0102,maize,Chinhoyi,2023/24,388.7,64.3,26.7,55.9,6.15,2.006,MundaSense deterministic synthetic demo generator v1,True
SYN-0103,maize,Plumtree,2021/22,714.6,360.0,25.5,71.7,5.77,3.058,MundaSense deterministic synthetic demo generator v1,True
SYN-0104,maize,Bindura,2023/24,692.4,120.3,25.7,59.8,5.37,2.751,MundaSense deterministic synthetic demo generator v1,True
SYN-0105,maize,Plumtree,2023/24,289.5,138.3,31.1,62.9,5.19,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0106,maize,Plumtree,2021/22,597.3,152.5,21.2,63.5,6.07,2.685,MundaSense deterministic synthetic demo generator v1,True
SYN-0107,maize,Plumtree,2023/24,804.2,111.6,25.0,71.5,5.76,1.932,MundaSense deterministic synthetic demo generator v1,True
SYN-0108,maize,Mutare,2024/25,816.0,14.8,26.0,67.0,5.61,2.166,MundaSense deterministic synthetic demo generator v1,True
SYN-0109,maize,Goromonzi,2024/25,809.8,123.8,22.8,64.0,7.21,3.082,MundaSense deterministic synthetic demo generator v1,True
SYN-0110,maize,Mutare,2021/22,627.2,43.0,25.2,56.9,6.04,2.538,MundaSense deterministic synthetic demo generator v1,True
SYN-0111,maize,Gokwe South,2021/22,463.7,108.6,20.1,72.3,7.01,2.015,MundaSense deterministic synthetic demo generator v1,True
SYN-0112,maize,Plumtree,2021/22,419.5,117.5,29.5,52.5,5.72,0.543,MundaSense deterministic synthetic demo generator v1,True
SYN-0113,maize,Masvingo,2022/23,683.8,26.9,23.0,71.8,6.28,3.296,MundaSense deterministic synthetic demo generator v1,True
SYN-0114,maize,Goromonzi,2021/22,690.2,100.1,31.4,85.7,6.06,0.164,MundaSense deterministic synthetic demo generator v1,True
SYN-0115,maize,Masvingo,2024/25,858.2,34.9,25.0,78.7,4.88,1.561,MundaSense deterministic synthetic demo generator v1,True
SYN-0116,maize,Masvingo,2024/25,823.5,13.7,28.3,70.7,7.13,0.559,MundaSense deterministic synthetic demo generator v1,True
SYN-0117,maize,Bindura,2024/25,595.5,34.3,24.9,65.8,6.0,3.111,MundaSense deterministic synthetic demo generator v1,True
SYN-0118,maize,Chinhoyi,2021/22,389.8,92.6,25.0,49.0,6.64,1.949,MundaSense deterministic synthetic demo generator v1,True
SYN-0119,maize,Chinhoyi,2021/22,561.0,89.3,23.3,55.8,5.56,2.159,MundaSense deterministic synthetic demo generator v1,True
SYN-0120,maize,Bindura,2024/25,660.2,72.2,25.5,77.7,5.98,3.006,MundaSense deterministic synthetic demo generator v1,True
SYN-0121,maize,Goromonzi,2022/23,582.6,135.3,26.1,58.6,5.48,3.033,MundaSense deterministic synthetic demo generator v1,True
SYN-0122,maize,Mutare,2023/24,513.1,86.1,22.7,61.8,6.99,2.661,MundaSense deterministic synthetic demo generator v1,True
SYN-0123,maize,Mutare,2024/25,666.8,124.7,24.7,65.2,6.32,3.906,MundaSense deterministic synthetic demo generator v1,True
SYN-0124,maize,Goromonzi,2021/22,526.8,151.7,23.2,58.2,6.36,2.904,MundaSense deterministic synthetic demo generator v1,True
SYN-0125,maize,Plumtree,2021/22,503.8,321.8,32.2,50.4,7.08,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0126,maize,Masvingo,2021/22,677.6,93.6,24.8,66.2,6.93,2.657,MundaSense deterministic synthetic demo generator v1,True
SYN-0127,maize,Bindura,2021/22,545.6,189.3,29.9,55.1,6.65,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0128,maize,Plumtree,2021/22,665.2,113.6,24.5,60.2,5.08,2.314,MundaSense deterministic synthetic demo generator v1,True
SYN-0129,maize,Masvingo,2024/25,670.5,117.5,25.9,58.8,5.6,3.614,MundaSense deterministic synthetic demo generator v1,True
SYN-0130,maize,Mutare,2023/24,409.2,94.3,21.0,74.0,5.38,0.637,MundaSense deterministic synthetic demo generator v1,True
SYN-0131,maize,Masvingo,2024/25,531.0,107.9,23.7,65.3,6.62,2.998,MundaSense deterministic synthetic demo generator v1,True
SYN-0132,maize,Masvingo,2024/25,886.0,86.6,25.8,64.4,6.22,3.228,MundaSense deterministic synthetic demo generator v1,True
SYN-0133,maize,Bindura,2024/25,405.0,171.3,30.0,68.4,5.1,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0134,maize,Masvingo,2021/22,228.4,62.1,25.8,64.7,5.96,0.883,MundaSense deterministic synthetic demo generator v1,True
SYN-0135,maize,Plumtree,2022/23,275.6,34.1,29.4,60.9,5.02,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0136,maize,Gokwe South,2024/25,625.4,70.7,27.1,69.3,6.06,3.47,MundaSense deterministic synthetic demo generator v1,True
SYN-0137,maize,Masvingo,2021/22,625.7,66.0,30.1,68.9,4.91,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0138,maize,Bindura,2021/22,598.2,70.7,24.9,65.2,6.48,3.049,MundaSense deterministic synthetic demo generator v1,True
SYN-0139,maize,Gokwe South,2023/24,844.6,91.4,32.5,62.0,6.37,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0140,maize,Goromonzi,2024/25,150.0,70.9,23.6,60.4,7.47,1.429,MundaSense deterministic synthetic demo generator v1,True
SYN-0141,maize,Zvishavane,2024/25,693.2,90.6,22.7,60.3,6.71,2.768,MundaSense deterministic synthetic demo generator v1,True
SYN-0142,maize,Chinhoyi,2024/25,908.9,71.0,21.3,76.0,5.8,1.836,MundaSense deterministic synthetic demo generator v1,True
SYN-0143,maize,Gokwe South,2021/22,411.4,126.2,32.3,65.4,6.69,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0144,maize,Goromonzi,2024/25,549.7,320.2,27.6,68.7,5.09,2.39,MundaSense deterministic synthetic demo generator v1,True
SYN-0145,maize,Zvishavane,2024/25,480.7,112.3,24.1,69.7,5.41,1.558,MundaSense deterministic synthetic demo generator v1,True
SYN-0146,maize,Plumtree,2023/24,454.5,72.9,29.0,64.1,6.34,0.725,MundaSense deterministic synthetic demo generator v1,True
SYN-0147,maize,Bindura,2024/25,559.6,15.2,27.2,71.2,4.55,0.489,MundaSense deterministic synthetic demo generator v1,True
SYN-0148,maize,Chinhoyi,2024/25,884.1,262.5,31.2,70.6,6.07,1.267,MundaSense deterministic synthetic demo generator v1,True
SYN-0149,maize,Plumtree,2022/23,959.9,116.0,20.3,78.0,5.37,1.113,MundaSense deterministic synthetic demo generator v1,True
SYN-0150,maize,Bindura,2021/22,557.9,90.1,24.3,66.1,6.17,2.627,MundaSense deterministic synthetic demo generator v1,True
SYN-0151,maize,Plumtree,2022/23,972.4,16.0,23.7,79.9,5.32,0.644,MundaSense deterministic synthetic demo generator v1,True
SYN-0152,maize,Gokwe South,2021/22,626.6,93.0,19.0,72.8,6.41,0.652,MundaSense deterministic synthetic demo generator v1,True
SYN-0153,maize,Zvishavane,2021/22,944.4,107.4,28.4,69.8,6.11,0.517,MundaSense deterministic synthetic demo generator v1,True
SYN-0154,maize,Gokwe South,2021/22,602.7,71.2,24.3,69.6,7.11,2.997,MundaSense deterministic synthetic demo generator v1,True
SYN-0155,maize,Goromonzi,2023/24,644.2,39.0,27.4,67.0,6.1,3.501,MundaSense deterministic synthetic demo generator v1,True
SYN-0156,maize,Mutare,2023/24,687.6,37.2,32.4,54.7,5.55,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0157,maize,Chinhoyi,2023/24,1150.0,264.8,24.0,73.5,5.92,1.803,MundaSense deterministic synthetic demo generator v1,True
SYN-0158,maize,Masvingo,2023/24,777.5,105.6,23.8,92.0,5.13,1.648,MundaSense deterministic synthetic demo generator v1,True
SYN-0159,maize,Masvingo,2023/24,489.2,71.1,25.5,62.8,6.39,1.74,MundaSense deterministic synthetic demo generator v1,True
SYN-0160,maize,Plumtree,2023/24,799.3,101.9,28.2,64.9,6.52,2.776,MundaSense deterministic synthetic demo generator v1,True
SYN-0161,maize,Zvishavane,2021/22,553.1,97.8,23.3,63.6,7.88,1.609,MundaSense deterministic synthetic demo generator v1,True
SYN-0162,maize,Mutare,2024/25,529.4,35.8,23.1,63.4,5.65,3.696,MundaSense deterministic synthetic demo generator v1,True
SYN-0163,maize,Goromonzi,2022/23,788.1,165.0,28.4,78.0,5.91,3.084,MundaSense deterministic synthetic demo generator v1,True
SYN-0164,maize,Goromonzi,2021/22,625.8,88.7,26.3,59.6,5.69,2.113,MundaSense deterministic synthetic demo generator v1,True
SYN-0165,maize,Goromonzi,2024/25,671.5,106.4,18.8,66.6,6.25,1.97,MundaSense deterministic synthetic demo generator v1,True
SYN-0166,maize,Plumtree,2023/24,622.6,216.8,21.3,54.8,6.37,2.521,MundaSense deterministic synthetic demo generator v1,True
SYN-0167,maize,Gokwe South,2021/22,682.3,39.9,29.8,56.4,6.06,0.866,MundaSense deterministic synthetic demo generator v1,True
SYN-0168,maize,Chinhoyi,2021/22,698.6,60.0,26.3,50.2,6.88,2.492,MundaSense deterministic synthetic demo generator v1,True
SYN-0169,maize,Gokwe South,2021/22,261.7,119.6,22.7,73.8,5.66,2.712,MundaSense deterministic synthetic demo generator v1,True
SYN-0170,maize,Bindura,2022/23,743.3,163.2,24.6,92.0,6.81,2.445,MundaSense deterministic synthetic demo generator v1,True
SYN-0171,maize,Bindura,2021/22,438.3,66.9,25.1,63.1,6.49,2.364,MundaSense deterministic synthetic demo generator v1,True
SYN-0172,maize,Bindura,2023/24,353.2,69.4,27.4,49.8,6.09,1.543,MundaSense deterministic synthetic demo generator v1,True
SYN-0173,maize,Plumtree,2023/24,609.2,142.2,20.9,77.5,5.87,2.354,MundaSense deterministic synthetic demo generator v1,True
SYN-0174,maize,Mutare,2024/25,635.5,306.4,22.5,61.7,7.85,2.902,MundaSense deterministic synthetic demo generator v1,True
SYN-0175,maize,Mutare,2023/24,491.7,103.9,25.9,77.5,5.51,1.717,MundaSense deterministic synthetic demo generator v1,True
SYN-0176,maize,Goromonzi,2023/24,773.7,59.9,24.8,64.1,6.31,3.113,MundaSense deterministic synthetic demo generator v1,True
SYN-0177,maize,Mutare,2023/24,371.7,48.8,26.9,59.5,5.56,1.462,MundaSense deterministic synthetic demo generator v1,True
SYN-0178,maize,Chinhoyi,2021/22,544.7,91.2,21.3,67.5,7.39,2.166,MundaSense deterministic synthetic demo generator v1,True
SYN-0179,maize,Zvishavane,2021/22,511.8,159.0,26.2,72.5,6.74,2.645,MundaSense deterministic synthetic demo generator v1,True
SYN-0180,maize,Masvingo,2023/24,611.4,360.0,28.5,62.0,5.61,2.863,MundaSense deterministic synthetic demo generator v1,True
SYN-0181,maize,Zvishavane,2021/22,671.6,82.1,26.6,60.9,6.47,3.044,MundaSense deterministic synthetic demo generator v1,True
SYN-0182,maize,Chinhoyi,2021/22,433.5,104.0,25.5,64.3,6.29,2.368,MundaSense deterministic synthetic demo generator v1,True
SYN-0183,maize,Goromonzi,2021/22,754.0,240.7,24.8,55.2,5.73,2.988,MundaSense deterministic synthetic demo generator v1,True
SYN-0184,maize,Mutare,2024/25,631.7,118.5,22.5,71.8,6.65,3.109,MundaSense deterministic synthetic demo generator v1,True
SYN-0185,maize,Goromonzi,2022/23,270.0,112.8,24.9,50.5,6.38,1.858,MundaSense deterministic synthetic demo generator v1,True
SYN-0186,maize,Goromonzi,2023/24,257.7,215.3,29.0,59.7,6.26,0.896,MundaSense deterministic synthetic demo generator v1,True
SYN-0187,maize,Chinhoyi,2022/23,617.7,105.4,24.7,73.5,6.07,3.142,MundaSense deterministic synthetic demo generator v1,True
SYN-0188,maize,Goromonzi,2021/22,579.1,51.6,22.3,71.1,6.41,2.307,MundaSense deterministic synthetic demo generator v1,True
SYN-0189,maize,Chinhoyi,2022/23,600.9,191.3,23.6,72.8,6.27,3.05,MundaSense deterministic synthetic demo generator v1,True
SYN-0190,maize,Gokwe South,2021/22,614.8,31.5,25.7,65.4,6.14,1.64,MundaSense deterministic synthetic demo generator v1,True
SYN-0191,maize,Mutare,2024/25,661.7,173.6,23.9,77.8,5.64,3.458,MundaSense deterministic synthetic demo generator v1,True
SYN-0192,maize,Mutare,2021/22,795.3,99.1,26.6,73.7,7.32,1.397,MundaSense deterministic synthetic demo generator v1,True
SYN-0193,maize,Masvingo,2022/23,414.4,82.7,26.7,69.3,5.34,0.98,MundaSense deterministic synthetic demo generator v1,True
SYN-0194,maize,Gokwe South,2024/25,403.2,81.3,27.9,72.8,6.41,1.233,MundaSense deterministic synthetic demo generator v1,True
SYN-0195,maize,Zvishavane,2023/24,417.7,91.0,29.5,70.1,5.87,0.15,MundaSense deterministic synthetic demo generator v1,True
SYN-0196,maize,Bindura,2022/23,673.4,75.4,28.2,60.3,7.37,2.178,MundaSense deterministic synthetic demo generator v1,True
SYN-0197,maize,Gokwe South,2023/24,850.3,128.5,22.2,56.4,5.45,2.745,MundaSense deterministic synthetic demo generator v1,True
SYN-0198,maize,Bindura,2024/25,540.2,77.0,22.3,72.2,5.57,2.627,MundaSense deterministic synthetic demo generator v1,True
SYN-0199,maize,Gokwe South,2022/23,157.2,23.2,24.9,71.5,5.4,0.388,MundaSense deterministic synthetic demo generator v1,True
SYN-0200,maize,Zvishavane,2023/24,304.8,99.6,23.7,77.2,6.33,1.722,MundaSense deterministic synthetic demo generator v1,True
SYN-0201,maize,Gokwe South,2024/25,465.9,22.0,21.6,60.5,5.11,1.113,MundaSense deterministic synthetic demo generator v1,True
SYN-0202,maize,Zvishavane,2023/24,516.8,99.2,23.7,59.2,5.76,2.219,MundaSense deterministic synthetic demo generator v1,True
SYN-0203,maize,Goromonzi,2022/23,544.4,74.4,23.6,71.6,4.55,2.684,MundaSense deterministic synthetic demo generator v1,True
SYN-0204,maize,Mutare,2021/22,627.1,166.5,23.0,67.2,6.27,3.812,MundaSense deterministic synthetic demo generator v1,True
SYN-0205,maize,Goromonzi,2021/22,562.3,84.8,24.1,50.1,5.74,3.237,MundaSense deterministic synthetic demo generator v1,True
